Dragon,Rarity,BreedAvailability,BreedElementOne,BreedElementTwo,BreedElementTwo,BreedElementThree,BreedElementFive,BreedDragonOne,BreedDragonTraitOne,BreedDragonTwo,BreedDragonTraitTwo,RequiredRiftAlignment,RequiredRiftTrait,OppositeElements,RequiredElementCount,RequiredTimeOfDay,RequiredWeather,RequiredCave,BreedTime,BreedElements,OwnZeroBreedPercentage,OwnOneBreedPercentage,OwnTwoBreedPercentage,NormalSingleClonePercentage,NormalDoubleClonePercentage,SocialSingleClonePercentage,SocialDoubleClonePercentage,RiftSingleClonePercentage,RiftDoubleClonePercentage,VisibleElements,EvolvesFrom,Riftable,Elderable,EarnGold,EarnEtherium,EarnGem,MagicCost,EventSection,ReqiuredTrait,Quest,AirCollection,AnniversaryCollection,ApocalypseCollection,AuraCollection,AutumnCollection,CampingCollection,CelebrationCollection,ChrysalisCollection,ColdCollection,CrystallineCollection,DarkCollection,DreamCollection,EarthCollection,EnhancedCollection,FireCollection,GalacticCollection,GemstoneAllCollection,GemstoneAutumnCollection,GemstoneSpringCollection,GemstoneSummerCollection,GemstoneWinterCollection,GhostlyCollection,HiddenCollection,LegendaryCollection,LightCollection,LightningCollection,LoveCollection,MelodyCollection,MetalCollection,MonolithCollection,MoonCollection,MythicCollection,OlympusCollection,OmofNomsCollection,OrnamentalCollection,OvalithCollection,ParadiseCollection,PlantCollection,RainbowCollection,RiftCollection,SeasonalCollection,SnowflakeCollection,SpookyCollection,SummerCollection,SunCollection,SurfaceCollection,TreasureCollection,VernalCollection,VintageCollection,WaterCollection,WinterCollection,ZodiacCollection
Bubble,Rare,permanent,air,water,,,,,,,,,,,,,,,36000,WA,0.05,,,0.01,,0.04,0.1,0.01,,WA,,true,false,740,360000,,,,,Sudsy Shores,Air,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Water,,
Bumi,Epic,unavailable,,,,,,Pixie,,Flowerhop,,,,,,,,,68400,EAISe,0.0375,,,0.05,0.3,0.01,0.15,0.05,0.3,Se,,true,false,170,240000,,,,,Spring to Action,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Seasonal,,,,,,,,,,,
Burglehoo,Epic,permanent,,,,,,Burglehoo,,Burglehoo,,,,,,,,,43200,PFECOr,0,,,0,0.3,0,0.3,0,0.3,FECOr,Coal,true,false,160,240000,,,,,Not a Grump Nor a Heel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ornamental,,,,,,,,,,,,,,,,,
Burrow,Rare,permanent,earth,fire,,,,,,,,,,,,,,,36000,FE,0.05,,,0.01,0.3,0.04,0.15,0.01,0.3,FE,,true,false,400,360000,,,,,Curious Explorer,,,,,,,,,,,,,Earth,,Fire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Busby,Epic,permanent,,,,,,Lacewing,,Marbletail,,,,,,,,,151200,PFECCh,0.02,,,,0.3,0.01,0.05,,0.3,Ch,,true,false,223,240000,,,,,Hive Mind,,,,,,,,Chrysalis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bushwhack,Rare,unavailable,earth,fire,,,,Bramble,,,,,,,,,,,97200,PFED,0.0275,,,0.01,0.3,0.1,0.2,0.01,0.3,PFED,,true,false,165,360000,,,,,Whacky Mazes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Om of Noms,,,,,,,,,,,,,,,,,,
Buttercup,Rare,unavailable,air,light,,,,Giddle,,,,,,,,,,,64800,ECAI,0.03,,,0.01,0.3,0.1,0.2,0.01,0.3,ECAI,,true,false,180,360000,,,,,Fluffy Jewel,,,,,,,,,,,,,,,,,,,,,,,,,,,Love,,,,,,,,,,,,,,,,,,,,,,,,,
Butterfly,Rare,unavailable,air,,,,,Firefly,,,,,,,,,,,43200,FLA,0.05,,,0.01,,0.03,0.1,0.01,,FLA,,true,false,400,360000,,,,,Sykie Meadows,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vernal,,,,
Cactus,Hybrid,permanent,plant,lightning,,,,,,,,,,,,,,,1800,PL,,,,0.01,,0.1,0.2,0.01,,PL,,true,false,450,360000,,,,,Glochid Grounds,,,,,,,,,,,,,,,,,,,,,,,,,,Lightning,,,,,,,,,,,,Plant,,,,,,,,,,,,,,
Candescent,Rare,permanent,cold,light,,,,,,,,,,,,,,,32400,CI,0.05,,,0.01,,0.04,0.15,0.01,,CI,,true,false,925,360000,,,,,Glowing Descent,,,,,,,,,Cold,,,,,,,,,,,,,,,,Light,,,,,,,,,,,,,,,,,,,,,,,,,,,
Candlecrown,Rare,unavailable,fire,,,,,Holly,,,,,,,,,,,64800,PFEC,0.02,,,0.01,,0.015,0.1,0.01,,PFEC,,true,false,500,360000,,,,,The Warmth of Cheer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Winter,
Canna,Rare,unavailable,water,plant,light,,,,,,,,,,,,,,72000,PWI,0.03,,,0.05,0.3,0.05,0.1,0.05,0.3,PWI,,true,false,200,360000,,,,,It Comes In Makeshift Boat,,,,,,,,,,,,,,,,,,,,,,,,,,,Love,,,,,,,,,,,,,,,,,,,,,,,,,
Cansian,Epic,unavailable,water,,,,,Moon,,,,,,,,,,,100800,CWL,0.04,,,0.05,0.3,0.1,0.15,0.05,0.3,WZo,,true,false,137,240000,,,,,Clamps,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Zodiac
Canvas,Epic,unavailable,,,,,,Sumi,,Iron Blossom,,,,,,,,,108000,PFEAMAu,0.02,,,0.01,0.3,0.04,0.15,0.01,0.3,Au,,true,false,120,240000,,,,,A True Masterpiece,,,,Aura,,,,,,,,,,,,,,,,,,,,,,,Love,,,,,,,,,,,,,,,,,,,,,,,,,
Capricornian,Epic,unavailable,earth,,,,,Chimmit,,,,,,,,,,,86400,EWLID,0.035,,,0.05,0.3,0.1,0.15,0.05,0.3,EZo,,true,false,134,240000,,,,,Headstrong,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Zodiac
Carnival,Rare,unavailable,earth,,,,,Pepper,,,,,,,,,,,43200,PFE,0.05,,,0.01,,0.02,0.1,0.01,,PFE,,true,false,850,360000,,,,,Jubilee Spree,,,,,,,Celebration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cave,Hybrid,permanent,dark,earth,,,,,,,,,,,,,,,39600,ED,,,,0.01,,0.1,0.2,0.01,,ED,,true,false,1200,360000,,,,,Down Underground,,,,,,,,,,,Dark,,Earth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Celerulean,Galaxy,permanent,,,,,,,,,,,,,,,,social,86400,FCWIGa,,,,0,0,0.1,0.2,0,0,Ga,,true,false,175,240000,,,,,Blue Odyssey,,,,,,,,,,,,,,,,Galactic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Celtic,Epic,unavailable,plant,,,,,Storm,,,,,,,,,,,61200,PCLRb,0.03,0.02,,,,0.01,0.05,,,Rb,,true,false,115,240000,,,,,Knots for Naught,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rainbow,,,,,,,,,,,,,
Century,Rare,unavailable,earth,water,cold,,,,,,,,,,,,,,36000,ECW,0.03,,,0.005,0.3,0.01,0.05,0.005,0.3,ECW,,true,false,600,360000,,,,,Five Score Frenzy,,,,,,,Celebration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vintage,,,
Cerberus,Epic,unavailable,,,,,,Hydra,,Obsidian,,,,,,,,,118800,FEWLOl,0.03,,,0.05,0.3,0.02,0.05,0.05,0.3,Ol,,true,false,250,240000,,4500,2,,Hall of Halitosis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Olympus,,,,,,,,,,,,,,,,,,,
Chaiko,Rare,unavailable,,,,,,Longcicle,,Starshine,,,,,,,,,54000,CWA,0.03,,,0.01,0.3,0.1,0.2,0.01,0.3,CWA,,true,false,220,360000,,,,,Lever Physics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Winter,
Char,Rare,permanent,dark,fire,,,,,,,,,,,,,,,79200,FD,0.05,,,0.01,,0.04,0.15,0.01,,FD,,true,false,430,360000,,,,,Across the Acrostic Sea,,,,,,,,,,,Dark,,,,Fire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Charlatan,Epic,unavailable,,,,,,Apocalypse,,Spirit,,,,,,,,,57600,FECDAp,0.04,0.01,,0.0075,0.3,0.015,0.1,0.0075,0.3,Ap,,true,false,300,240000,,8106,3,,Composed Conquest,,,Apocalypse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Spooky,,,,,,,,,
Cherrie,Epic,unavailable,,,,,,Sakura,,Sumi,,,,,,,,,100800,PFEASe,0.0375,,,0.05,0.3,0.015,0.15,0.05,0.3,PSe,,true,false,95,240000,,,,,Merry Cherry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Seasonal,,,,,,,,,,,
Chikipea,Rare,unavailable,plant,earth,light,air,,,,,,,,,,,,,68400,PEAI,0.026,,,0.01,0.3,0.1,0.2,0.01,0.3,PEAI,,true,false,185,360000,,,,,Yellow Eyed Peas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vernal,,,,
Chimmit,Rare,unavailable,water,dark,lightning,light,,,,,,,,,,,,,54000,WLID,0.03,,,0.01,0.3,0.1,0.2,0.01,0.3,WLID,,true,false,100,360000,,,,,Experienced Piscator,,,,,,Camping,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chimneypuff,Rare,permanent,dark,air,,,,,,,,,,,,,,,82800,AD,0.05,,,0.01,0.25,0.04,0.1,0.01,0.2,AD,,true,false,460,360000,,,,,Swift Sweeper,Air,,,,,,,,,,Dark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Spooky,,,,,,,,,
Chitin,Rare,permanent,dark,metal,,,,,,,,,,,,,,,93600,MD,0.04,,,0.01,0.25,0.04,0.1,0.01,0.2,MD,,true,false,400,360000,,,,,Creepy Crawler,,,,,,,,,,,Dark,,,,,,,,,,,,,,,,,,Metal,,,,,,,,,,,,,,Spooky,,,,,,,,,
Chomp,Rare,unavailable,plant,earth,,,,Stygian,,,,,,,,,,,86400,PFED,0.03,,,0.05,0.3,0.015,0.15,0.05,0.3,PFED,,true,false,100,360000,,,,,Systematic Muncher,,,,,,Camping,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chorister,Epic,unavailable,,,,,,Harmony,,Yule,,,,,,,,,72000,PEMIMe,0.038,,,0.05,0.3,0.015,0.15,0.05,0.3,Me,,true,false,180,240000,,,,,Achoired Taste,,,,,,,,,,,,,,,,,,,,,,,,,,,,Melody,,,,,,,,,,,,,,,,,,,,,,,,
Chromacorn,Epic,unavailable,rift,,,,,Rainbow,,Double Rainbow,,,,,,,,rift,172800,PFECWLAMIDRRb,0.005,,,0,0,0,0,0.0025,0.1,RRb,,true,false,75,240000,,6100,2,F,Chromatic Cave,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rainbow,Rift,,,,,,,,,,,,
Chrome,Hybrid,permanent,air,metal,,,,,,,,,,,,,,,18000,AM,,,,0.01,,0.1,0.2,0.01,,AM,,true,false,1450,360000,,,,,Ride Eternal,Air,,,,,,,,,,,,,,,,,,,,,,,,,,,,Metal,,,,,,,,,,,,,,,,,,,,,,,
Chrysalis,Epic,permanent,,,,,,Swallowtail,,Duskwing,,,,,,,,,120000,FECCh,0.06,0.04,,,,0.05,0.05,,,Ch,,true,false,650,240000,,,,,Mega Metamorphosis,,,,,,,,Chrysalis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chuck,Rare,unavailable,,,,,,Combustion,,Apex,,,,,,,,,57600,FEMD,0.035,,,0.05,0.3,0.015,0.15,0.05,0.3,FEMD,,true,false,100,360000,,,,,Wood Cutter,,,,,,Camping,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clairvoyant,Rare,unavailable,cold,dark,light,,,,,,,,,,,,,,43200,CID,0.05,,,0.05,0.3,0.01,0.05,0.05,0.3,CID,,true,false,450,360000,,,,,Do You See What Icy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vernal,,,,
Classical,Epic,unavailable,,,,,,Canvas,,Rosegold,,,,,,,,,93600,PFEAMMe,0.045,,,0.05,0.3,0.015,0.15,0.05,0.3,Me,,true,false,180,240000,,,,,The Composer,,,,,,,,,,,,,,,,,,,,,,,,,,,,Melody,,,,,,,,,,,,,,,,,,,,,,,,
Clover,Rare,unavailable,plant,,,,,Moss,,,,,,,,,,,25200,PE,0.04,,,0.01,,0.03,0.05,0.01,,PE,,true,false,600,360000,,,,,Misfortune Marsh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vernal,,,,
Coal,Rare,unavailable,fire,earth,,,,,,,,,,,,,,,43200,FE,0.07,,,0.01,,0.05,0.1,0.01,,FE,,true,false,650,360000,,,,,Forgotten Fuels,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Winter,
Cocoahollow,Rare,unavailable,,,,,,Soot,,Conifer,,,,,,,,,43200,PFEC,0.02,,,0.05,,0.005,0.1,0.02,,PFEC,,true,false,650,360000,,,,,Nib Nursery,,,,,,,Celebration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cold,Primary,permanent,,,,,,,,,,,,CF,,,,,43200,C,,,,0,,0,,0,,C,,false,true,1250,,,,,,,,,,,,,,,Cold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cold Rift,Primary Rift,permanent,,,,,,,,,,,,,,,,rift,172800,CR,,,,0,0,0,0,0.01,0.15,CR,,true,false,400,360000,,,,C,Freezey Chaos,,,,,,,,,Cold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rift,,,,,,,,,,,,
Coldcoil,Epic,unavailable,hidden,cold,water,,,,,,,,,,,,,,68400,CWHi,0.035,,,0.05,0.3,0.01,0.1,0.05,0.3,CWHi,,true,false,200,240000,,,,,Chilly Shellebration,,,,,,Camping,,,,,,,,,,,,,,,,,Hidden,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coldforge,Rare,permanent,cold,metal,,,,,,,,,,,,,,,72000,CM,0.05,,,0.01,0.3,0.04,0.15,0.01,0.3,CM,,true,false,515,360000,,,,,Wimbledrip's Woe,,,,,,,,,Cold,,,,,,,,,,,,,,,,,,,,Metal,,,,,,,,,,,,,,,,,,,,,,,
Combustion,Rare,unavailable,metal,fire,air,dark,,,,,,,,,,,,,216000,FAMD,0.02,,,0.01,0.3,0.015,0.1,0.01,0.3,FAMD,,true,false,149,240000,,7450,1,,Come-bust-out Some Moves,,,,,,,Celebration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vintage,,,
Comet,Galaxy,permanent,,,,,,,,,,,,,,,,social,79200,FECMGa,,,,0,0,0.1,0.2,0,0,Ga,,true,false,104,240000,,,,,Hypersonic Frolic,,,,,,,,,,,,,,,,Galactic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Conch,Rare,permanent,metal,water,,,,,,,,,,,,,,,21600,WM,0.05,,,0.01,,0.04,0.1,0.01,,WM,,true,false,1300,360000,,,,,Mollusca Marina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Metal,,,,,,,,,,,,,,,,,,,,,Water,,
Conifer,Rare,permanent,cold,plant,,,,,,,,,,,,,,,64800,PC,0.05,,,0.01,0.3,0.04,0.1,0.01,0.3,PC,,true,false,830,360000,,,,,Brow Mountain,,,,,,,,,Cold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Plant,,,,,,,,,,,,,,
Construct,Rare,unavailable,,,,,,Crystal,,Sparkles,,,,,,,,,100800,ELI,0.0325,,,0.01,0.3,0.1,0.2,0.01,0.3,ELI,,true,false,125,360000,,,,,On The Rocks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Copper,Hybrid,permanent,lightning,metal,,,,,,,,,,,,,,,72000,LM,,,,0.01,,0.1,0.2,0.01,,LM,,true,false,900,360000,,,,,Conductive Conundrum,,,,,,,,,,,,,,,,,,,,,,,,,,Lightning,,,Metal,,,,,,,,,,,,,,,,,,,,,,,
Coral,Hybrid,permanent,fire,water,,,,,,,,,,,,,,,41400,FW,,,,0.01,,0.1,0.2,0.01,,FW,,true,false,775,360000,,,,,Kelpy Corrale,,,,,,,,,,,,,,,Fire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Water,,
Corrupticorn,Epic,permanent,,,,,,Corrupticorn,,Corrupticorn,,,,,,,,rift,172800,PFECWLAMIDRRb,0,,,0,0,0,0,0,0.15,RRb,Chromacorn,true,false,70,230000,,9550,2,D,Beauty in Shadow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rainbow,Rift,,,Spooky,,,,,,,,,
Corsair,Epic,unavailable,,,,,,Yarr,,Djinni,,,,,,,,,111600,EWLAMTr,0.0415,,,0.01,0.3,0.1,0.2,0.01,0.3,WTr,,true,false,185,240000,,,,,Seeking Thrills,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Paradise,,,,,,,,,,Treasure,,,,,
Cotton,Rare,unavailable,plant,earth,fire,lightning,,,,,,,,,,,,,86400,PFEL,0.03,,,0.01,,0.02,0.1,0.01,,PFEL,,true,false,345,360000,,,,,Textile Test,,Anniversary,,,,,Celebration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country,Epic,unavailable,,,,,,Harvest Moon,,Seed,,,,,,,,,93600,PECWIMe,0.038,,,0.05,0.3,0.015,0.15,0.05,0.3,Me,,true,false,180,240000,,,,,Howdy,,,,,,,,,,,,,,,,,,,,,,,,,,,,Melody,,,,,,,,,,,,,,,,,,,,,,,,
Crackle,Epic,unavailable,,,,,,Stoneshell,,Minchi,,,,,,,,,82800,ECWLHi,0.031,,,0.05,0.3,0.015,0.15,0.05,0.3,Hi,,true,false,110,240000,,,,,One Shell of a Dragon,,,,,,,,,,,,,,,,,,,,,,,Hidden,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crawler,Rare,unavailable,water,dark,,,,Manomano,,,,,,,,,,,50400,CWD,0.0475,,,0.01,0.3,0.1,0.2,0.01,0.3,CWD,,true,false,220,360000,,,,,Snap Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Paradise,,,,,,,,,,,,,,,
Crypt,Hybrid,permanent,dark,cold,,,,,,,,,,,,,,,63000,CD,,,,0.01,,0.1,0.2,0.01,,CD,,true,false,920,360000,,,,,Creeper Keeper,,,,,,,,,Cold,,Dark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crystal,Hybrid,permanent,lightning,earth,,,,,,,,,,,,,,,86400,EL,,,,0.01,,0.1,0.2,0.01,,EL,,true,false,800,360000,,,,,Fractal Fever,,,,,,,,,,,,,Earth,,,,,,,,,,,,,Lightning,,,,,,,,,,,,,,,,,,,,,,,,,,
Cuddlewing,Rare,unavailable,,,,,,Love,,Tree,,,,,,,,,100800,PFEL,0.05,,,0.01,,0.04,0.1,0.01,,PFEL,,true,false,615,360000,,,,,The Snugglening,,,,,,,,,,,,,,,,,,,,,,,,,,,Love,,,,,,,,,,,,,,,,,,,,,,,,,
Cumberpatch,Epic,unavailable,monolith,,,,,Cactus,,,,,,,,,,,100800,PEWLHi,0.02,,,0.05,,0.005,0.1,0.02,,Hi,,true,false,400,240000,,,,,Mammu's Bargain,,,,,,,Celebration,,,,,,,,,,,,,,,,Hidden,,,,,,,,,,,Om of Noms,,,,,,,,,,,,,,,,,,
Cumulus,Epic,unavailable,,,,,,Monolith 2,,Rain,,,,,,,,,64800,FEWAHi,0.03,,,0.05,0.3,0.01,0.05,0.05,0.3,Hi,,true,false,500,240000,,,,,Head in the Clouds,,,,,,,,,,,,,,,,,,,,,,,Hidden,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cupido,Epic,unavailable,,,,,,Stoneheart,,Sweetheart,,,,,,,,,93600,PFECLAu,0.041,,,0.05,0.3,0.01,0.15,0.05,0.3,Au,,true,false,110,240000,,,,,Lovestruck,,,,Aura,,,,,,,,,,,,,,,,,,,,,,,Love,,,,,,,,,,,,,,,,,,,,,,,,,
Curlyleaf,Epic,permanent,,,,,,Curlyleaf,,Curlyleaf,,,,,,,,,62500,PEWLIHiSe,0,,,0,0.3,0,0.3,0,0.3,HiSe,Leaf,true,false,550,240000,,,,,Go Green Every Day,,,,,,,,,,,,,,,,,,,,,,,Hidden,,,,,,,,,,,Om of Noms,,,,,,,Seasonal,,,,,,,,,,,
Current,Rare,permanent,water,lightning,,,,,,,,,,,,,,,57600,WL,0.05,,,0.01,,0.04,0.15,0.01,,WL,,true,false,300,360000,,,,,Sparkflow Connection,,,,,,,,,,,,,,,,,,,,,,,,,,Lightning,,,,,,,,,,,,,,,,,,,,,,,,Water,,
Curse,Epic,unavailable,,,,,,Misfortune,,Alure,,,,,,,,,115200,CWLAMTr,0.0425,,,0.05,0.3,0.01,0.15,0.05,0.3,WTr,,true,false,180,240000,,,,,Malediction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Paradise,,,,,,,,,,Treasure,,,,,
Cyclamen,Epic,unavailable,earth,fire,dark,,,,,,,,,,,,,,64800,FEDAu,0.03,,,0.05,0.3,0.01,0.05,0.05,0.3,Au,,true,false,167,240000,,,,,Depression Secession,,,,Aura,,,,,,,,,,,,,,,,,,,,,,,Love,,,,,,,,,,,,,,,,,,,,,,,,,
Cyclone,Rare,permanent,lightning,air,,,,,,,,,,,,,,,64800,LA,0.05,,,0.01,0.3,0.04,0.15,0.01,0.3,LA,,true,false,725,360000,,,,,Witchitoto Plains,Air,,,,,,,,,,,,,,,,,,,,,,,,,Lightning,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyclops,Epic,permanent,lightning,water,metal,,,,,,,,,,,,,,118800,WLMOl,0.03,,,,,0.02,0.05,,,Ol,,true,false,275,240000,,,,,Sights Unseen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Olympus,,,,,,,,,,,,,,,,,,,
Daffadowndilly,Epic,unavailable,fire,earth,water,,,,,,,,,,,,,,54000,FEWAu,0.03,,,0.05,0.3,0.01,0.05,0.05,0.3,Au,,true,false,670,240000,,,,,Trial of Denial,,,,Aura,,,,,,,,,,,,,,,,,,,,,,,Love,,,,,,,,,,,,,,,,,,,,,,,,,
Dandelion,Rare,permanent,air,plant,,,,,,,,,,,,,,,27000,PA,0.05,,,0.01,,0.04,0.15,0.01,,PA,,true,false,755,360000,,,,,Breeze Floating,Air,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Plant,,,,,,,,,,,,,,
Dapplethorn,Rare,permanent,dark,water,,,,,,,,,,,,,,,64800,WD,0.03,,,0.01,0.3,0.1,0.2,0.01,0.3,WD,,true,false,425,360000,,,,,A Thorn in the Side,,,,,,,,,,,Dark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Water,,
Darcowl,Rare,unavailable,dark,earth,metal,,,,,,,,,,,,,,82800,EMD,0.0175,,,0.0075,0.3,0.015,0.1,0.0075,0.3,EMD,,true,false,430,360000,,,,,Covert Galantry,,,,,,,,,,,,,,Enhanced,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dargon,Rare,unavailable,,,,,,,,,,,,,,,,,50400,F,0.04,0.01,0.005,0.01,0.3,0.03,0.1,0.01,0.3,F,,true,true,900,360000,,,,,Dragon Dragon,,,,,,,Celebration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dark,Primary,permanent,,,,,,,,,,,,DI,,,,,46800,D,,,,0,,0,,0,,D,,false,true,1040,,,,,,,,,,,,,,,,,Dark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dark Rift,Primary Rift,permanent,,,,,,,,,,,,,,,,rift,172800,DR,,,,0,0,0,0,0.01,0.15,DR,,true,false,400,360000,,,,D,Adrift in the Rift,,,,,,,,,,,Dark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rift,,,,,,,,,,,,
Darkling,Rare,permanent,dark,lightning,,,,,,,,,,,,,,,50400,LD,0.03,,,0.01,,0.02,0.1,0.01,,LD,,true,false,350,360000,,,,,The Bolts of Faridat,,,,,,,Celebration,,,,Dark,,,,,,,,,,,,,,,Lightning,,,,,,,,,,,,,,,,,,,,,,,,,,
Darkmatter,Epic,unavailable,,,,,,Aurora,,Nightbloom,,,,,,night,,,90000,PCLDRbMo,0.02,,,0.05,0.3,0.01,0.05,0.05,0.3,RbMo,,true,false,180,240000,,,,,You Matter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Moon,,,,,,,,Rainbow,,,,,,,,,,,,,
Dartwing,Rare,unavailable,metal,plant,,,,,,,,,,,,,,,82800,PM,0.04,,,0.01,0.25,0.01,0.2,0.01,0.2,PM,,true,false,475,360000,,,,,Fleetly Flittering,,,,,,,Celebration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dash,Rare,unavailable,light,air,dark,,,,,,,,,,,,,,115200,AID,0.005,0.02,,0.0075,0.3,0.015,0.1,0.0075,0.3,AID,,true,false,390,360000,,,,,Speedy Sense,,,,,,,,,,,,,,Enhanced,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Davinese,Rare,unavailable,,,,,,Cyclone,,Vortex,,,,,,,,,53450,WLA,0.045,,,0.01,0.3,0.1,0.2,0.01,0.3,WLA,,true,false,220,360000,,,,,Flying The Friendly Skies,,,,,,,Celebration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dawn,Epic,unavailable,,,,,,Moon,,Sun,,,,,,day,,,72000,CLSuMo,0.01,,,,,0.01,0.05,,,SuMo,,true,false,150,240000,,,,,The Awakening,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Moon,,,,,,,,,,,,,,Sun,,,,,,,
Dawnbringer,Epic,unavailable,fire,dark,air,,,,,,,,,,,,,,126000,FADOl,0.015,,,0.05,0.3,0.02,0.05,0.05,0.3,Ol,,true,false,200,240000,,,,,Sun Salute,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Olympus,,,,,,,,,,,,,,,,,,,
Daydream,Epic,permanent,,,,,,Mirage,,Hypnotic,,,,,,,,,104400,AIDDr,0.02,,,,,0.01,0.1,,,Dr,,true,false,115,240000,,,,,Reverie Quarry,,,,,,,,,,,,Dream,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Daylily,Rare,permanent,air,fire,plant,,,,,,,,,,,,,,57600,PFA,0.05,,,0.01,0.3,0.035,0.1,0.01,0.3,PFA,,true,false,390,360000,,,,,Daily Lily,Air,,,,,,,,,,,,,,Fire,,,,,,,,,,,,,,,,,,,,,,,Plant,,,,,,,,,,Vernal,,,,
