Dragon,Rarity,BreedAvailability,BreedElementOne,BreedElementTwo,BreedElementTwo,BreedElementThree,BreedElementFive,BreedDragonOne,BreedDragonTraitOne,BreedDragonTwo,BreedDragonTraitTwo,RequiredRiftAlignment,RequiredRiftTrait,RequiredElementCount,RequiredTimeOfDay,RequiredWeather,RequiredCave,BreedTime,BreedElements,BaseBreedChance,OwnOneBreedChance,OwnTwoBreedChance,NormalSingleClone,NormalDoubleClone,SocialSingleClone,SocialDoubleClone,RiftSingleClone,RiftDoubleClone,VisibleElements,EvolvesFrom,Riftable,Elderable,EarnGold,EarnEtherium,EarnGem,MagicCost,EventSection,ReqiuredTrait,Quest
Corrupticorn,Epic,cloneable,,,,,,,,,,,,,,,rift,172800,PFECWLAMIDRRb,0,,,0,0,0,0,0,0.15,RRb,Chromacorn,TRUE,FALSE,70,230000,,9550,2,D,Beauty in Shadow
Corsair,Epic,unavailable,,,,,,Yarr,,Djinni,,,,,,,,111600,EWLAMTr,0.0415,,,0.01,0.3,0.1,0.2,0.01,0.3,WTr,,TRUE,FALSE,185,240000,,,,,Seeking Thrills
Cotton,Rare,unavailable,plant,earth,fire,lightning,,,,,,,,,,,,86400,PFEL,0.03,,,0.01,,0.02,0.1,0.01,,PFEL,,TRUE,FALSE,345,360000,,,,,Textile Test
Country,Epic,unavailable,,,,,,Harvest Moon,,Seed,,,,,,,,93600,PECWIMe,0.038,,,0.05,0.3,0.015,0.15,0.05,0.3,Me,,TRUE,FALSE,180,240000,,,,,Howdy
Crackle,Epic,unavailable,,,,,,Stoneshell,,Minchi,,,,,,,,82800,ECWLHi,0.031,,,0.05,0.3,0.015,0.15,0.05,0.3,Hi,,TRUE,FALSE,110,240000,,,,,One Shell of a Dragon
Crawler,Rare,unavailable,water,dark,,,,Manomano,,,,,,,,,,50400,CWD,0.0475,,,0.01,0.3,0.1,0.2,0.01,0.3,CWD,,TRUE,FALSE,220,360000,,,,,Snap Back
Crypt,Hybrid,permanent,dark,cold,,,,,,,,,,,,,,63000,CD,,,,0.01,,0.1,0.2,0.01,,CD,,TRUE,FALSE,920,360000,,,,,Creeper Keeper
Crystal,Hybrid,permanent,lightning,earth,,,,,,,,,,,,,,86400,EL,,,,0.01,,0.1,0.2,0.01,,EL,,TRUE,FALSE,800,360000,,,,,Fractal Fever
Cuddlewing,Rare,unavailable,,,,,,Love,,Tree,,,,,,,,100800,PFEL,0.05,,,0.01,,0.04,0.1,0.01,,PFEL,,TRUE,FALSE,615,360000,,,,,The Snugglening
Cumberpatch,Epic,unavailable,monolith,,,,,Cactus,,,,,,,,,,100800,PEWLHi,0.02,,,0.05,,0.005,0.1,0.02,,Hi,,TRUE,FALSE,400,240000,,,,,Mammu's Bargain
Cumulus,Epic,unavailable,,,,,,Monolith 2,,Rain,,,,,,,,64800,FEWAHi,0.03,,,0.05,0.3,0.01,0.05,0.05,0.3,Hi,,TRUE,FALSE,500,240000,,,,,Head in the Clouds
Cupido,Epic,unavailable,,,,,,Stoneheart,,Sweetheart,,,,,,,,93600,PFECLAu,0.041,,,0.05,0.3,0.01,0.15,0.05,0.3,Au,,TRUE,FALSE,110,240000,,,,,Lovestruck
Curlyleaf,Epic,cloneable,,,,,,,,,,,,,,,,62500,PEWLIHiSe,0,,,0,0.3,0,0.3,0,0.3,HiSe,Leaf,TRUE,FALSE,550,240000,,,,,Go Green Every Day
Current,Rare,permanent,water,lightning,,,,,,,,,,,,,,57600,WL,0.05,,,0.01,,0.04,0.15,0.01,,WL,,TRUE,FALSE,300,360000,,,,,Sparkflow Connection
Curse,Epic,unavailable,,,,,,Misfortune,,Alure,,,,,,,,115200,CWLAMTr,0.0425,,,0.05,0.3,0.01,0.15,0.05,0.3,WTr,,TRUE,FALSE,180,240000,,,,,Malediction
Cyclamen,Epic,unavailable,earth,fire,dark,,,,,,,,,,,,,64800,FEDAu,0.03,,,0.05,0.3,0.01,0.05,0.05,0.3,Au,,TRUE,FALSE,167,240000,,,,,Depression Secession
Cyclone,Rare,permanent,lightning,air,,,,,,,,,,,,,,64800,LA,0.05,,,0.01,0.3,0.04,0.15,0.01,0.3,LA,,TRUE,FALSE,725,360000,,,,,Witchitoto Plains
Cyclops,Epic,permanent,lightning,water,metal,,,,,,,,,,,,,118800,WLMOl,0.03,,,,,0.02,0.05,,,Ol,,TRUE,FALSE,275,240000,,,,,Sights Unseen
Daffadowndilly,Epic,unavailable,fire,earth,water,,,,,,,,,,,,,54000,FEWAu,0.03,,,0.05,0.3,0.01,0.05,0.05,0.3,Au,,TRUE,FALSE,670,240000,,,,,Trial of Denial
Dandelion,Rare,permanent,air,plant,,,,,,,,,,,,,,27000,PA,0.05,,,0.01,,0.04,0.15,0.01,,PA,,TRUE,FALSE,755,360000,,,,,Breeze Floating
Dapplethorn,Rare,permanent,dark,water,,,,,,,,,,,,,,64800,WD,0.03,,,0.01,0.3,0.1,0.2,0.01,0.3,WD,,TRUE,FALSE,425,360000,,,,,A Thorn in the Side
Darcowl,Rare,unavailable,dark,earth,metal,,,,,,,,,,,,,82800,EMD,0.0175,,,0.0075,0.3,0.015,0.1,0.0075,0.3,EMD,,TRUE,FALSE,430,360000,,,,,Covert Galantry
Dargon,Rare,unavailable,,,,,,,,,,,,,,,,50400,F,0.04,0.01,0.005,0.01,0.3,0.03,0.1,0.01,0.3,F,,TRUE,TRUE,900,360000,,,,,Dragon Dragon
Dark,Primary,permanent,,,,,,,,,,,,,,,,46800,D,,,,0,,0,,0,,D,,FALSE,TRUE,1040,,,,,,
Dark Rift,Primary Rift,permanent,,,,,,,,,,,,,,,rift,172800,DR,,,,0,0,0,0,0.01,0.15,DR,,TRUE,FALSE,400,360000,,,,D,Adrift in the Rift
Darkling,Rare,permanent,dark,lightning,,,,,,,,,,,,,,50400,LD,0.03,,,0.01,,0.02,0.1,0.01,,LD,,TRUE,FALSE,350,360000,,,,,The Bolts of Faridat
Darkmatter,Epic,unavailable,,,,,,Aurora,,Nightbloom,,,,,night,,,90000,PCLDRbMo,0.02,,,0.05,0.3,0.01,0.05,0.05,0.3,RbMo,,TRUE,FALSE,180,240000,,,,,You Matter
Dartwing,Rare,unavailable,metal,plant,,,,,,,,,,,,,,82800,PM,0.04,,,0.01,0.25,0.01,0.2,0.01,0.2,PM,,TRUE,FALSE,475,360000,,,,,Fleetly Flittering
Dash,Rare,unavailable,light,air,dark,,,,,,,,,,,,,115200,AID,0.005,0.02,,0.0075,0.3,0.015,0.1,0.0075,0.3,AID,,TRUE,FALSE,390,360000,,,,,Speedy Sense
Davinese,Rare,unavailable,,,,,,Cyclone,,Vortex,,,,,,,,53450,WLA,0.045,,,0.01,0.3,0.1,0.2,0.01,0.3,WLA,,TRUE,FALSE,220,360000,,,,,Flying The Friendly Skies
Dawn,Epic,unavailable,,,,,,Moon,,Sun,,,,,day,,,72000,CLSuMo,0.01,,,,,0.01,0.05,,,SuMo,,TRUE,FALSE,150,240000,,,,,The Awakening
Dawnbringer,Epic,unavailable,fire,dark,air,,,,,,,,,,,,,126000,FADOl,0.015,,,0.05,0.3,0.02,0.05,0.05,0.3,Ol,,TRUE,FALSE,200,240000,,,,,Sun Salute
Daydream,Epic,permanent,,,,,,Mirage,,Hypnotic,,,,,,,,104400,AIDDr,0.02,,,,,0.01,0.1,,,Dr,,TRUE,FALSE,115,240000,,,,,Reverie Quarry
Daylily,Rare,permanent,air,fire,plant,,,,,,,,,,,,,57600,PFA,0.05,,,0.01,0.3,0.035,0.1,0.01,0.3,PFA,,TRUE,FALSE,390,360000,,,,,Daily Lily
Dazzle,Epic,unavailable,moon,sun,lightning,dark,,,,,,,,,,,,61200,LDSuMo,0.02,,,0.0075,0.3,0.015,0.05,0.0075,0.3,LDSuMo,,TRUE,FALSE,177,240000,,,,,A Star is Bred
Dazzling,Epic,unavailable,ornamental,ornamental,,,,,,,,,,,,,,198000,PFECOr,0.005,,,0.0025,0.05,0.005,0.05,0.005,,Or,,TRUE,FALSE,76,240000,,,,,Fulgent Foray
Decay,Rare,unavailable,fire,earth,cold,,,,,,,,,,,,,86400,FEC,0.04,,,0,0.3,0,0.1,,0.3,FEC,,TRUE,FALSE,667,360000,,6080,2,,Land Without Candy
Delicia,Epic,unavailable,dream,,,,,Glimmerwing,,,,,,,,,,108000,PFECWLAMIDDr,0.02,,,0.01,0.3,0.01,0.05,0.01,0.3,ADr,,TRUE,FALSE,200,240000,,,,,D for Delici(ous)
Delight,Epic,unavailable,plant,fire,cold,,,,,,,,,,,,,129600,PFCAu,0.03,,,,,0.01,0.05,,,Au,,TRUE,FALSE,180,240000,,,,,Manic Antics
Delirium,Epic,unavailable,,,,,,Hypnotic,,Dream,,,,,,,,86400,FEADr,0.02,0.01,,,,0.02,0.05,,,Dr,,TRUE,FALSE,135,240000,,,,,Final Fever
Derecho,Rare,permanent,air,cold,,,,,,,,,,,,,,57600,CA,0.025,,,0.01,0.3,0.04,0.15,0.01,0.3,CA,,TRUE,FALSE,430,360000,,,,,Adrenaline Rush
Diamond,Gemstone,unavailable,,,,,,Ice,,Mine,,,,,,,,108000,CWMGe,0.03,,,0.05,0.07,0.03,0.06,0.05,0.07,Ge,,TRUE,FALSE,,240000,120960000,,,,Carbon Craze
Diggy,Epic,unavailable,,,,,,Bloatato,,Gourd,,,,,,,,108000,PFEWADHi,0.0225,,,0.05,0.3,0.01,0.15,0.05,0.3,Hi,,TRUE,FALSE,130,240000,,,,,Diggy Diggy Hole
Dittoglide,Epic,permanent,,,,,,Duskwing,,Lacewing,,,,,,,,54000,PFECCh,0.02,,,,0.3,0.01,0.05,,0.3,Ch,,TRUE,FALSE,200,240000,,,,,Frequent Flier
Divi,Rare,unavailable,,,,,,Buttercup,,Rosebud,,,,,,,,64800,PEAI,0.028,,,0.01,0.3,0.1,0.2,0.01,0.3,PEAI,,TRUE,FALSE,178,360000,,,,,Rosa Rubiginosa
Djinni,Epic,unavailable,lightning,water,air,metal,,,,,,,,,,,,172800,WLAMTr,0.005,,,0.05,,0.01,0.05,0.05,,Tr,,TRUE,FALSE,125,240000,,,,,Cave of Wanderers
Dodo,Rare,permanent,earth,air,,,,,,,,,,,,,,57600,EA,0.05,,,0.01,,0.04,0.15,0.01,,EA,,TRUE,FALSE,750,360000,,,,,Fight or Fight
Dortal,Rare,unavailable,,,,,,Kwall,,Iden,,,,,,,,61200,PAID,0.035,,,0.01,0.3,0.1,0.2,0.01,0.3,PAID,,TRUE,FALSE,200,360000,,8560,1,,Ribgate
Double Leap Year,Epic,unavailable,,,,,,,,,,,,4,,,,104400,PFECWLAMIDRb,0.03,0.01,,,0.25,0.01,0.05,,0.25,Rb,,TRUE,FALSE,77,240000,,,,,Twice Leapt Valley
Double Rainbow,Epic,permanent,,,,,,,,,,,,4,,,,216000,PFECWLAMIDRb,0.005,,,0.0025,0.25,0.005,0.05,0.0025,0.1,Rb,,TRUE,FALSE,77,240000,,,,,Doublehue Ditch
Dracabra,Rare,unavailable,,,,,,Lycan,,Decay,,,,,,,,43200,PFEL,0.04,,,0.01,,0.015,0.1,0.01,,PFEL,,TRUE,FALSE,650,360000,,1900,1,,Hanging In There
Dream,Epic,permanent,light,dark,,,,,,,,,,4,,,,180000,PFECWLAMIDDr,0.01,,,,,0.01,0.1,,,Dr,,TRUE,FALSE,100,240000,,,,,Island of Illusions
Drifter,Rare,permanent,water,metal,,,,,,,,,,,,,,21600,WM,0.04,,,0.01,0.3,0.04,0.15,0.01,0.3,WM,,TRUE,FALSE,980,360000,,,,,Flowing Riffs
Dungeon,Hybrid,permanent,dark,fire,,,,,,,,,,,,,,54000,FD,,,,0.01,,0.1,0.2,0.01,,FD,,TRUE,FALSE,840,360000,,,,,Boss Stage
Dusk,Epic,unavailable,,,,,,Sun,,Moon,,,,,night,,,72000,CLSuMo,0.01,,,,,0.01,0.05,,,SuMo,,TRUE,FALSE,115,240000,,,,,Half-light Hunt
Duskwing,Epic,permanent,,,,,,Lacewing,,Chrysalis,,,,,,,,120000,PFECh,0.06,0.04,,,0.3,0.01,0.05,,0.3,Ch,,TRUE,FALSE,650,240000,,,,,Twilight Flight
Earth,Primary,permanent,,,,,,,,,,,,,,,,7200,E,,,,0,,0,,0,,E,,FALSE,TRUE,1600,,,,,,
Earth Rift,Primary Rift,permanent,,,,,,,,,,,,,,,rift,172800,ER,,,,0,0,0,0,0.01,0.15,ER,,TRUE,FALSE,400,360000,,,,E,A Rift Aground
Efreet,Epic,unavailable,,,,,,Djinni,,Misfortune,,,,,,,,93600,PFCWLAMTr,0.043,,,0.05,0.3,0.015,0.15,0.05,0.3,Tr,,TRUE,FALSE,105,240000,,,,,Ominous Wishes
Eldritch,Rare,unavailable,fire,plant,earth,cold,,,,,,,,,,,,86400,PFEC,0.04,,,0.0075,0.3,0.015,0.1,0.0075,0.3,PFEC,,TRUE,FALSE,600,360000,,11500,3,,Shrouded in Mystery
Electrum,Epic,permanent,lightning,metal,,,,,,,,,,,,,,171000,LMTr,0.025,,,,,0.02,0.1,,,Tr,,TRUE,FALSE,225,240000,,,,,Stater's Stash
Elegant,Epic,unavailable,moon,sun,plant,light,,,,,,,,,,,,43200,PISuMo,0.02,,,0.0075,0.3,0.015,0.05,0.0075,0.3,PISuMo,,TRUE,FALSE,190,240000,,,,,Grand Entrance
Elkar,Rare,unavailable,,,,,,Reindeer,,Snowflake 7,,,,,,,,93600,PEC,0.03,,,0.01,0.3,0.1,0.2,0.01,0.3,PEC,,TRUE,FALSE,110,360000,,,,,Let It Snow
Elysium,Epic,unavailable,,,,,,Gold Olympus,,Dream,,,,,,,,172800,ELAIDrOl,0.06,0.03,,,,0.02,0.05,,,DrOl,,TRUE,FALSE,125,240000,,,,,West Wind Warning
Ember,Hybrid,permanent,fire,light,,,,,,,,,,,,,,28800,FI,,,,0.01,,0.1,0.2,0.01,,FI,,TRUE,FALSE,940,360000,,,,,Conflagration Course
Embossed,Rare,unavailable,metal,earth,cold,lightning,,,,,,,,,,,,129600,ECLM,0.005,,,0.3,,0.02,0.1,0.3,,ECLM,,TRUE,FALSE,315,360000,,,,,Alloy Analysis
Emerald,Gemstone,unavailable,,,,,,Lichen,,Crystal,,,,,,,,111600,PECLGe,0.03,,,0.05,0.07,0.03,0.06,0.05,0.07,Ge,,TRUE,FALSE,,240000,120960000,,,,The Sedna Mountains
Enfis,Epic,unavailable,,,,,,,,,,,,4,,,,104400,PFECWLAMIDRb,0.03,0.01,,0.05,0.3,0.03,0.05,0.05,0.3,Rb,,TRUE,FALSE,300,240000,,,,,Slippery Companion
Entwined,Epic,unavailable,,,,,,Love,,Sweetheart,,,,,,,,93600,PFECLAu,0.025,,,0.01,0.3,0.04,0.15,0.01,0.3,Au,,TRUE,FALSE,145,240000,,,,,Partner In Crime
Epoch,Rare,unavailable,,,,,,Bloom,,Bearded,,,,,,,,111600,PECL,0.12,0.07,,0.05,,0.01,0.05,0.05,,PECL,,TRUE,FALSE,320,360000,,,,,The Great Sneeze
Equinox,Epic,unavailable,water,,,,,Blazing,,,,,,,,,,86400,FWASuMo,0.03,0.02,,,,0.02,0.05,,,SuMo,,TRUE,FALSE,175,240000,,,,,Hemisphere Mutineer
Eridanian,Galaxy,permanent,,,,,,,,,,,,,,,social,64800,PECIGa,,,,0,0,0.05,0.2,0,0,Ga,,TRUE,FALSE,104,240000,,,,,Stellar Core
Etch,Rare,permanent,dark,plant,,,,,,,,,,,,,,43200,PD,0.05,,,0.01,0.3,0.1,0.2,0.01,0.3,PD,,TRUE,FALSE,100,360000,,6720,1,,Heart Of The Swamp
Euryale,Rare,unavailable,,,,,,Mylio,,Ikatako,,,,,,,,86400,WID,0.04,,,0.05,0.3,0.01,0.15,0.05,0.3,WID,,TRUE,FALSE,190,360000,,,,,Rock the Boat
Eve,Epic,permanent,cold,water,metal,,,,,,,,,,,,,82800,CWMSf,0.01,,,0.01,0.25,0.015,0.1,0.01,0.25,Sf,,TRUE,FALSE,300,240000,,,,,Silverfalls Gorge
Everfrost,Rare,unavailable,,,,,,Starshine,,Dazzling,,,,,,,,57600,PFEC,0.0395,,,0.01,0.3,0.1,0.2,0.01,0.3,PFEC,,TRUE,FALSE,215,360000,,,,,Stay Frosty
Evergreen,Hybrid,permanent,plant,cold,,,,,,,,,,,,,,36000,PC,,,,0.01,,0.1,0.2,0.01,,PC,,TRUE,FALSE,850,360000,,,,,Neverblue Woods
Eww,Rare,unavailable,,,,,,Ooze,,Dortal,,,,,,,,57600,PWAD,0.0465,,,0.01,0.3,0.1,0.2,0.01,0.3,PWAD,,TRUE,FALSE,230,360000,,13500,4,,Gloop
Exandrew,Rare,unavailable,earth,fire,air,,,,,,,,,,,,,86400,FEA,0.03,,,0.05,0.3,0.05,0.1,0.05,0.3,FEA,,TRUE,FALSE,240,360000,,,,,Roll For Initiative
Fae,Epic,unavailable,,,,,,Glasswing,,Snooz,,,,,,,,93600,WAIDDr,0.04,,,0.05,0.3,0.01,0.15,0.05,0.3,Dr,,TRUE,FALSE,90,240000,,,,,A Magical Puff
Faire,Rare,unavailable,lightning,plant,cold,metal,,,,,,,,,,,,194400,PCLM,0.005,,,0.0025,,0.01,0.1,0.0025,,PCLM,,TRUE,FALSE,310,360000,,,,,Fair is Fair
Fates,Epic,unavailable,plant,fire,water,,,,,,,,,,,,,72000,PFWOl,0.015,,,0.05,0.3,0.01,0.05,0.05,0.3,Ol,,TRUE,FALSE,299,240000,,,,,Triad Trench
Faux,Epic,permanent,,,,,,Glowwing,,Swallowtail,,,,,,,,68700,PFECCh,0.02,,,,0.3,0.01,0.05,,0.3,Ch,,TRUE,FALSE,190,240000,,,,,Monster Mimicry
Feast,Rare,unavailable,plant,earth,light,,,,,,,,,,,,,86400,PEI,0.05,,,0.01,,0.02,0.1,0.01,,PEI,,TRUE,FALSE,650,360000,,,,,The Fattening
Festive,Epic,unavailable,plant,earth,cold,,,,,,,,,,,,,90000,PECSf,0.015,,,0.01,0.2,0.015,0.1,0.01,0.2,Sf,,TRUE,FALSE,180,240000,,,,,Jingle Jangle
Fever,Rare,permanent,cold,fire,,,,,,,,,,,,,,32400,FC,0.035,,,0.01,0.3,0.04,0.15,0.01,0.3,FC,,TRUE,FALSE,725,360000,,,,,Cold Sweat
Fire,Primary,permanent,,,,,,,,,,,,,,,,300,F,,,,0,,0,,0,,F,,FALSE,TRUE,800,,,,,,
Fire Rift,Primary Rift,permanent,,,,,,,,,,,,,,,rift,172800,FR,,,,0,0,0,0,0.01,0.15,FR,,TRUE,FALSE,400,360000,,,,F,Chaotic Encounter
Fireflight,Rare,unavailable,air,fire,,,,,,,,,,,,,,79200,FA,0.04,,,0.01,0.3,0.015,0.1,0.01,0.3,FA,,TRUE,FALSE,450,360000,,,,,Hot Air Hullabaloo
Firefly,Hybrid,permanent,lightning,fire,,,,,,,,,,,,,,10800,FL,,,,0.01,,0.1,0.2,0.01,,FL,,TRUE,FALSE,700,360000,,,,,Cold Light Chase
Firework,Rare,unavailable,fire,air,,,,,,,,,,,,,,21600,FA,0.04,,,0.01,,0.025,0.1,0.01,,FA,,TRUE,FALSE,950,360000,,,,,Explosions in the Sky
Fissure,Rare,permanent,dark,earth,,,,,,,,,,,,,,54000,ED,0.05,,,0.01,0.3,0.04,0.15,0.01,0.3,ED,,TRUE,FALSE,665,360000,,,,,Laki Chasm
Flash,Hybrid,permanent,lightning,light,,,,,,,,,,,,,,21600,LI,,,,0.01,,0.1,0.2,0.01,,LI,,TRUE,FALSE,1040,360000,,,,,Scarlet Sprint
Flicker,Epic,unavailable,earth,,,,,Gift,,,,,,,,,,90000,PFECOr,0.04,,,0.05,,0.01,0.05,0.05,,Or,,TRUE,FALSE,180,240000,,,,,Glimmer Grotto
Flickerflame,Rare,permanent,fire,cold,,,,,,,,,,,,,,50400,FC,0.05,,,0.01,0.3,0.1,0.1,0.01,0.3,FC,,TRUE,FALSE,350,360000,,,,,Flame and Flicker
Florea,Rare,unavailable,,,,,,Rosebud,,Woodvine,,,,,,,,100800,PFEA,0.045,,,0.01,0.3,0.1,0.2,0.01,0.3,PFEA,,TRUE,FALSE,140,360000,,,,,The Perfect Caregiver
Flower,Hybrid,permanent,fire,plant,,,,,,,,,,,,,,3600,PF,,,,0.01,,0.1,0.2,0.01,,PF,,TRUE,FALSE,650,360000,,,,,Floral Quarrel
Flowerhop,Rare,unavailable,air,light,earth,plant,,,,,,,,,,,,79200,PEAI,0.03,,,0.01,0.3,0.1,0.2,0.01,0.3,PEAI,,TRUE,FALSE,360,360000,,,,,Treehop Time
Fluffles,Rare,unavailable,air,light,cold,,,,,,,,,,,,,57600,CAI,0.045,,,0.01,0.3,0.1,0.2,0.01,0.3,CAI,,TRUE,FALSE,220,360000,,,,,Huggie Snuggie
Fluorescent,Rare,permanent,light,cold,,,,,,,,,,,,,,39600,CI,0.05,,,0.01,,0.04,0.15,0.01,,CI,,TRUE,FALSE,850,360000,,,,,Debunking Spelunking
Flurry,Rare,unavailable,cold,air,water,,,,,,,,,,,,,64800,CWA,0.04,,,0.01,0.3,0.015,0.1,0.01,0.3,CWA,,TRUE,FALSE,500,360000,,,,,It Came From the Clouds
Fog,Hybrid,permanent,water,air,,,,,,,,,,,,,,28800,WA,,,,0.01,,0.1,0.2,0.01,,WA,,TRUE,FALSE,750,360000,,,,,Miasma Menace
Fomhar,Epic,unavailable,,,,,,Seasonal,,Autumn,,,,,,,,82800,PFCASe,0.0325,,,0.01,0.3,0.1,0.2,0.01,0.3,Se,,TRUE,FALSE,220,240000,,,,,Pillar of Autumn
Forest,Rare,permanent,plant,earth,,,,,,,,,,,,,,14400,PE,0.05,,,0.01,,0.04,0.15,0.01,,PE,,TRUE,FALSE,900,360000,,,,,Copse Consternation
Forge,Hybrid,permanent,fire,metal,,,,,,,,,,,,,,86400,FM,,,,0.01,,0.1,0.2,0.01,,FM,,TRUE,FALSE,900,360000,,,,,Smithy Snafu
Frond,Rare,permanent,plant,water,,,,,,,,,,,,,,50400,PW,0.05,,,0.01,0.3,0.1,0.2,0.01,0.3,PW,,TRUE,FALSE,410,360000,,,,,Righteous Relaxation
Frons,Epic,unavailable,hidden,plant,metal,,,,,,,,,,,,,75600,PMHi,0.02,,,0.05,0.3,0.01,0.1,0.05,0.3,PMHi,,TRUE,FALSE,200,240000,,,,,Falling for You
Frostbite,Rare,permanent,cold,dark,,,,,,,,,,,,,,14400,CD,0.05,,,0.01,,0.04,0.15,0.01,,CD,,TRUE,FALSE,850,360000,,,,,Icebitten
Frostfire,Rare,permanent,cold,fire,,,,,,,,,,,,,,43200,FC,0.05,,,0.01,,0.04,0.15,0.01,,FC,,TRUE,FALSE,366,360000,,,,,Palagos Islands
Frostflower,Rare,permanent,plant,cold,,,,,,,,,,,,,,36000,PC,0.05,,,0.01,0.3,0.04,0.15,0.01,0.3,PC,,TRUE,FALSE,750,360000,,,,,Just Right Gauntlet
Frostfluff,Rare,permanent,cold,earth,rift,,,,,,,cold,,,,,rift,0,ECR,0.03,,,0,0,0,0,0.01,0.15,ECR,,TRUE,FALSE,450,360000,,,,C,Fluff Bluff
Fuefuego,Rare,unavailable,fire,earth,,,,Armament,,,,,,,,,,93600,FEMI,0.0425,,,0.01,0.3,0.1,0.2,0.01,0.3,FEMI,,TRUE,FALSE,110,360000,,,,,Dare Devil
Fulgurite,Rare,permanent,earth,lightning,,,,,,,,,,,,,,57600,EL,0.0225,,,0.01,0.3,0.04,0.15,0.01,0.3,EL,,TRUE,FALSE,750,360000,,,,,Charged Assumptions
Fungus,Hybrid,permanent,plant,dark,,,,,,,,,,,,,,46800,PD,,,,0.01,,0.1,0.2,0.01,,PD,,TRUE,FALSE,1012,360000,,,,,Blight Blockade
Funis,Rare,unavailable,,,,,,Wick,,Bog,,,,,,,,57600,PFWI,0.05,,,0.01,0.3,0.1,0.2,0.01,0.3,PFWI,,TRUE,FALSE,200,360000,,7360,1,,Nope Rope
Fury,Epic,unavailable,,,,,,Misfortune,,Snowpocalypse,,,,,,,,165600,PECLAMAp,0.03,,,0.05,0.3,0.01,0.05,0.05,0.3,Ap,,TRUE,FALSE,110,240000,,9000,1,,Inception Misconception
Fushi,Rare,unavailable,plant,air,,,,Flowerhop,,,,,,,,,,100800,PEAI,0.045,,,0.01,0.3,0.1,0.2,0.01,0.3,PEAI,,TRUE,FALSE,130,360000,,,,,An Experimental Surprise
Gaia,Legendary,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,FALSE,FALSE,,,,,,,
Gamma,Hybrid,permanent,light,lightning,,,,,,,,,,,,,,68400,LI,,,,0.01,,0.1,0.2,0.01,,LI,,TRUE,FALSE,745,360000,,,,,Ray of Rage
Garden,Rare,unavailable,plant,earth,,,,,,,,,,,,,,43200,PE,0.04,,,0.01,,0.015,0.1,0.01,,PE,,TRUE,FALSE,755,360000,,1900,1,,Gardenia's Grace
Gargoyle,Rare,unavailable,monolith,,,,,Trick,,,,,,,,,,54000,PEWL,0.04,,,0.01,,0.015,0.1,0.01,,PEWL,,TRUE,FALSE,840,360000,,2200,1,,Gravel Gathering
Garland,Rare,unavailable,fire,plant,earth,lightning,,,,,,,,,,,,86400,PFEL,0.03,,,0.01,,0.02,0.15,0.01,,PFEL,,TRUE,FALSE,320,360000,,,,,Laurel Lament
Garnet,Gemstone,unavailable,,,,,,Smoke,,Obsidian,,,,,,,,111600,FEAGe,0.03,,,0.05,0.07,0.03,0.06,0.05,0.07,Ge,,TRUE,FALSE,,240000,120960000,,,,Crimson Canyon
Gatren,Rare,unavailable,,,,,,Oni,,Eldritch,,,,,,,,68400,FECD,0.03,,,0.01,0.3,0.015,0.15,0.01,0.3,FECD,,TRUE,FALSE,200,360000,,4800,1,,When Life Gives You Limestones
Gawk,Epic,unavailable,,,,,,Regal,,Gold,,,,,,,,79200,PFWAMITr,0.04,,,0.05,0.3,0.015,0.15,0.05,0.3,ATr,,TRUE,FALSE,120,240000,,,,,Bird of Paradise
Geminian,Epic,unavailable,air,,,,,Sunstruck,,,,,,,,,,82800,FAID,0.034,,,0.05,0.3,0.04,0.15,0.05,0.3,AZo,,TRUE,FALSE,132,240000,,,,,Synergy
Geode,Rare,permanent,earth,water,,,,,,,,,,,,,,82800,EW,0.05,,,0.01,,0.04,0.15,0.01,,EW,,TRUE,FALSE,800,360000,,,,,Sediment Impediment
Ghast,Rare,permanent,light,dark,rift,,,,,,,,fire,,,,rift,0,IDR,0.05,,,0,0,0,0,0.01,0.15,IDR,,TRUE,FALSE,450,360000,,,,F,Phantasm Adrift
Ghost,Rare,unavailable,earth,cold,,,,,,,,,,,,,,55800,EC,0.05,,,0.01,,0.04,0.1,0.01,,EC,,TRUE,FALSE,1000,360000,,1140,1,,Poltergeist Heist
Ghostly Bone,Rare,unavailable,,,,,,Ghostly Earth,,Ghostly Fire,,,,,,,,36000,FE,0.03,,,0.1,0.3,0.1,0.2,0.1,0.3,FE,,FALSE,FALSE,900,360000,,2000,,,Macabre Marrow
Ghostly Coal,Rare,unavailable,,,,,,Ghostly Fire,,Ghostly Earth,,,,,,,,43200,FE,0.03,,,0.1,0.3,0.1,0.2,0.1,0.3,FE,,FALSE,FALSE,650,,,,,,Canary's Revenge
Ghostly Cold,Rare,cloneable,,,,,,,,,,,,,,,,43200,C,0,,,0,,0,,0,,C,Cold,FALSE,TRUE,1250,,,2800,,,
Ghostly Decay,Rare,unavailable,,,,,,Ghostly Obsidian,,Ghostly Cold,,,,,,,,86400,FEC,0.03,,,0.1,0.3,0.1,0.2,0.1,0.3,FEC,,FALSE,FALSE,667,360000,,2000,,,Land of the Unsweetened
Ghostly Earth,Rare,cloneable,,,,,,,,,,,,,,,,7200,E,0,,,0,,0,,0,,E,Earth,FALSE,TRUE,1600,,,2800,,,
