Air,Primary,A,Fire+Water,2:00:00,100% (33%),0% (?%),0% (?%),0% (?%),
Shockproof,Rare,CL,cold+lightning,12:00:00,5%,10% (20%),1% (30%),1% (30%),Shocked and Rattled
Aquacorn,Rare,CW,water+cold,12:00:00,5%,10% (10%),1% (30%),1% (30%),Wet and Magical
Flickerflame,Rare,FC,fire+cold,14:00:00,5%,10% (10%),1% (30%),1% (30%),Flame and Flicker
Void,Rare,CD,cold+dark,24:00:00,5%,10% (20%),1% (30%),1% (30%),Creeping In
Aperture,Rare,CW,cold+water,12:00:00,5%,10% (20%),1% (30%),1% (30%),Port Enthusiast
Jasper,Gemstone,Cr,Malachite+Hypnotic,35:00:00,3%,3% (6%),5% (7%),5% (7%),Speckled Spelunking
Tourmaline,Gemstone,Cr,Electrum+Crystal,35:00:00,3%,3% (6%),5% (7%),5% (7%),Libra Lark
Bismuth,Gemstone,Cr,Glass+Forge,34:30:00,3%,3% (6%),5% (7%),5% (7%),Refraction Extraction
Sanguinite,Gemstone,Cr,Lodestone+Mountain,36:00:00,3%,3% (6%),5% (7%),5% (7%),Tunnels of Mashe
Mesolite,Gemstone,Cr,Sulfur+Glass,31:00:00,3%,3% (6%),5% (7%),5% (7%),Mineral Mire
Pyrite,Gemstone,Cr,Iron+Thunder,36:00:00,3%,3% (6%),5% (7%),5% (7%),Golden Foolery
Barite,Gemstone,Cr,Hail+Dodo,35:00:00,3%,3% (6%),5% (7%),5% (7%),Colorless Chasm
Okenite,Gemstone,Cr,Snow+Pollen,31:00:00,3%,3% (6%),5% (7%),5% (7%),Noxious Nuzzles
Quartz,Gemstone,Cr,Luminous+Lava,30:00:00,3%,3% (6%),5% (7%),5% (7%),Crystal Clear Chasm
Wavelyte,Gemstone,Cr,Shimmer+Evergreen,36:00:00,3%,3% (6%),5% (7%),5% (7%),Wicked Waves
Azurite,Gemstone,Cr,Glacier+Meteor,35:00:00,3%,3% (6%),5% (7%),5% (7%),Gerias Gauntlet
Labradorite,Gemstone,Cr,Chrome+Blue Fire,36:00:00,3%,3% (6%),5% (7%),5% (7%),Retrieve & Retreat
Cave,Hybrid,ED,dark+earth,11:00:00,*%,10% (20%),1% (?%),1% (?%),Down Underground
Dark,Primary,D,,13:00:00,$%,0% (?%),0% (?%),0% (?%),
Dark Rift,Primary Rift,DR,,48:00:00,$%,0% (0%),0% (0%),1% (15%),Adrift in the Rift
Dungeon,Hybrid,FD,dark+fire,15:00:00,*%,10% (20%),1% (?%),1% (?%),Boss Stage
Fungus,Hybrid,PD,plant+dark,13:00:00,*%,10% (20%),1% (?%),1% (?%),Blight Blockade
Nightshade,Hybrid,PD,dark+plant,13:30:00,*%,10% (20%),1% (?%),1% (?%),Belladonna's Bastion
Root,Hybrid,ED,earth+dark,9:00:00,*%,10% (20%),1% (?%),1% (?%),Tuber Trouble
Watch,Hybrid,FD,fire+dark,8:00:00,*%,10% (20%),1% (?%),1% (?%),Gulf of the Guardian
Crypt,Hybrid,CD,dark+cold,17:30:00,*%,10% (20%),1% (?%),1% (?%),Creeper Keeper
Ruin,Hybrid,CD,cold+dark,6:00:00,*%,10% (20%),1% (?%),1% (?%),Down Falls
Spark,Hybrid,LD,lightning+dark,9:30:00,*%,10% (20%),1% (?%),1% (?%),Shock Rock
Wraith,Hybrid,LD,dark+lightning,14:00:00,*%,10% (20%),1% (?%),1% (?%),Gaznul Gulch
Abyss,Hybrid,WD,water+dark,7:30:00,*%,10% (20%),1% (?%),1% (?%),Lantern Deeps
Howl,Hybrid,AD,dark+air,12:30:00,*%,10% (20%),1% (?%),1% (?%),Allengin Pass
Miasma,Hybrid,AD,air+dark,10:30:00,*%,10% (20%),1% (?%),1% (?%),Smog Bog
Ooze,Hybrid,WD,dark+water,18:30:00,*%,10% (20%),1% (?%),1% (?%),Ancient Madness
Acid,Hybrid,MD,dark+metal,15:30:00,*%,10% (20%),1% (?%),1% (?%),Corrosive Crater
Promethium,Hybrid,MD,dark+metal,8:00:00,*%,10% (20%),1% (?%),1% (?%),Rift Fire Mire
Mirage,Rare,ID,dark+light,17:00:00,5%,4% (15%),1% (?%),1% (?%),Phantasm Chasm
Shadow,Rare,ID,light+dark,18:00:00,5%,4% (15%),1% (?%),1% (?%),The Wall of Shades
Wisp,Rare,LD,lightning+dark,2:00:00,5%,4% (10%),1% (10%),1% (10%),Brume Bluff
Frostbite,Rare,CD,cold+dark,4:00:00,5%,4% (15%),1% (?%),1% (?%),Icebitten
Darkling,Rare,LD,dark+lightning,14:00:00,3%,2% (10%),1% (?%),1% (?%),The Bolts of Faridat
Bramble,Rare,PD,dark+plant,18:00:00,5%,2% (10%),1% (?%),1% (?%),Razor Ramble
Trench,Rare,WD,water+dark,7:30:00,5%,4% (10%),1% (?%),1% (?%),Anayrahm Dive
Nightbloom,Epic,PDMo,plant+dark+moon,27:00:00,3% (1.5%),1% (5%),5% (30%),?% (30%),Night Flight
Subterranean,Rare,ED,earth+dark,24:00:00,5%,4% (15%),1% (30%),1% (30%),T. Erra's Plea
Char,Rare,FD,dark+fire,22:00:00,5%,4% (15%),1% (?%),1% (?%),Across the Acrostic Sea
Fissure,Rare,ED,dark+earth,15:00:00,5%,4% (15%),1% (30%),1% (30%),Laki Chasm
Voltaic,Rare,LDR,dark+lightning+rift+[dark trait],0:00:00,2.5%,0% (0%),0% (0%),1% (15%),Scaredy Cave
Snapper,Rare,PD,plant+dark,15:00:00,5%,4% (15%),1% (?%),1% (?%),Slow & Steady
Antumbra,Rare,IDR,light+dark+rift+[rift align:earth],0:00:00,5%,0% (0%),0% (0%),1% (15%),Pincer Power
Ghast,Rare,IDR,light+dark+rift+[fire trait],0:00:00,5%,0% (0%),0% (0%),1% (15%),Phantasm Adrift
Lacuna,Rare,IDR,Mirage+Shadow+rift+[mirage water trait]+[shadow air trait],0:00:00,3%,0% (0%),0% (0%),1% (15%),Lake of the Abyss
Yolkwing,Rare,FDR,rift+[fire trait],0:00:00,2.5%,0% (0%),0% (0%),1% (15%),Eggstraordinary Eggventure
Abraxas,Rare,LDR,lightning+dark+rift+[rift align:lightning],23:00:00,4%,0% (0%),0% (0%),1% (20%),Power Overwhelming
Chimneypuff,Rare,AD,dark+air,23:00:00,5%,4% (10%),1% (25%),1% (20%),Swift Sweeper
Chitin,Rare,MD,dark+metal,26:00:00,4%,4% (10%),1% (25%),1% (20%),Creepy Crawler
Silverline,Rare,ID,light+dark,18:00:00,2%,4% (15%),1% (30%),1% (30%),Holistic Hope
Void,Rare,CD,cold+dark,24:00:00,5%,10% (20%),1% (30%),1% (30%),Creeping In
Etch,Rare,PD,dark+plant,12:00:00,5%,10% (20%),1% (30%),1% (30%),Heart Of The Swamp
Dapplethorn,Rare,WD,dark+water,18:00:00,3%,10% (20%),1% (30%),1% (30%),A Thorn in the Side
Dream,Epic,Dr,light+dark+[4 elements],50:00:00,1%,1% (10%),?% (?%),?% (?%),Island of Illusions
Daydream,Epic,Dr,Mirage+Hypnotic,29:00:00,2%,1% (10%),?% (?%),?% (?%),Reverie Quarry
Nightmare,Epic,Dr,Howl+Abyss,36:28:33,4%,2% (5%),?% (?%),?% (?%),Gelndun Gutter
Elysium,Epic,DrOl,Gold Olympus+Dream,48:00:00,6% (3%),2% (5%),?% (?%),?% (?%),West Wind Warning
Delirium,Epic,Dr,Hypnotic+Dream,24:00:00,2% (1%),2% (5%),?% (?%),?% (?%),Final Fever
Muse,Epic,DrOl,Hydra+Daydream,36:00:00,6% (3%),?% (10%),?% (?%),?% (?%),Writer's Block Bluff
Portent,Epic,Dr,Daydream+Mirage,50:00:00,3% (1.5%),1% (10%),5% (30%),5% (10%),Exceptional Endeavor
Delicia,Epic,ADr,Glimmerwing+dream,30:00:00,2%,1% (5%),1% (30%),1% (30%),D for Delici(ous)
Tebori,Epic,IDr,Hakahaka+dream,28:00:00,2.5%,1% (5%),1% (30%),1% (30%),Traditional Patterns
Alffa,Epic,ADr,dream+air,32:00:00,2%,1% (5%),1% (30%),1% (30%),Alpha in Disguise
Iden,Epic,PADDr,Charlatan+Nightbloom,24:00:00,2%,1.5% (5%),0.75% (30%),0.75% (30%),Reaching For The Scarlet Moon
Snooz,Epic,WADr,Dream+Fog,24:00:00,4%,10% (20%),1% (30%),1% (30%),Snooze No More
Glasswing,Epic,AIDDr,Daydream+light+dark,30:00:00,3.75%,10% (20%),1% (30%),1% (30%),It's Real Glass
Binky,Epic,DrSu,Nightmare+Tranquil,24:00:00,4.25%,10% (20%),1% (30%),1% (30%),Jungle Juggle
Lightmare,Epic,DrMo,Moon+Dream,24:00:00,3.5%,1% (15%),5% (30%),5% (30%),Dreamcatcher
Lullaby,Epic,DrMe,Serenity+dream,26:00:00,4.5%,1.5% (15%),5% (30%),5% (30%),Snoring
Lumineux,Epic,PFLIDr,Love+dream,24:00:00,3.8%,10% (20%),1% (30%),1% (30%),Group Hug
Astraline,Epic,Dr,Petunia+air+light,24:00:00,4%,1% (15%),5% (30%),5% (30%),Astral Projection
Fae,Epic,Dr,Glasswing+Snooz,26:00:00,4%,1% (15%),5% (30%),5% (30%),A Magical Puff
Crystal,Hybrid,EL,lightning+earth,24:00:00,*%,10% (20%),1% (?%),1% (?%),Fractal Fever
Earth,Primary,E,,2:00:00,$%,0% (?%),0% (?%),0% (?%),
Lava,Hybrid,FE,earth+fire,10:00:00,*%,10% (20%),1% (?%),1% (?%),Molten Motive
Moss,Hybrid,PE,plant+earth,12:00:00,*%,10% (20%),1% (?%),1% (?%),Bryophyte Plight
Mountain,Hybrid,EC,earth+cold,14:00:00,*%,10% (20%),1% (?%),1% (?%),Solo Summit
Mud,Hybrid,EW,earth+water,6:00:00,*%,10% (20%),1% (?%),1% (?%),Luck in the Muck
Quake,Hybrid,EL,earth+lightning,6:00:00,*%,10% (20%),1% (?%),1% (?%),Seismic Trick
Tree,Hybrid,PE,plant+earth,14:00:00,*%,10% (20%),1% (?%),1% (?%),Rootmoot
Sandstorm,Rare,EA,air+earth,2:00:00,5%,4% (15%),1% (?%),1% (?%),Tectonica Toil
Iron,Hybrid,EM,earth+metal,4:00:00,*%,10% (20%),1% (?%),1% (?%),Iron Will
Dodo,Rare,EA,earth+air,16:00:00,5%,4% (15%),1% (?%),1% (?%),Fight or Fight
Scoria,Hybrid,EM,earth+metal,22:00:00,*%,10% (20%),1% (?%),1% (?%),Bessemer's Bounty
Obsidian,Hybrid,FE,earth+fire,8:00:00,*%,10% (20%),1% (?%),1% (?%),The Mark of Wrothmoore
Glacier,Hybrid,EC,earth+cold,10:00:00,*%,10% (20%),1% (?%),1% (?%),Below the Floe
River,Hybrid,EW,earth+water,13:00:00,*%,10% (20%),1% (?%),1% (?%),Ami'Lya's Adventure
Forest,Rare,PE,plant+earth,4:00:00,5%,4% (15%),1% (?%),1% (?%),Copse Consternation
Glass,Hybrid,EI,light+earth,12:30:00,*%,10% (20%),1% (?%),1% (?%),Silica Valley
Sand,Hybrid,EI,earth+light,6:30:00,*%,10% (20%),1% (?%),1% (?%),Sandara's Sojourn
Cave,Hybrid,ED,dark+earth,11:00:00,*%,10% (20%),1% (?%),1% (?%),Down Underground
Root,Hybrid,ED,earth+dark,9:00:00,*%,10% (20%),1% (?%),1% (?%),Tuber Trouble
Arctic,Rare,EC,cold+earth,22:00:00,5%,4% (15%),1% (?%),1% (?%),Northern Chills
Geode,Rare,EW,earth+water,23:00:00,5%,4% (15%),1% (?%),1% (?%),Sediment Impediment
Plains,Rare,EI,earth+light,12:00:00,5%,4% (10%),1% (?%),1% (?%),Gargantuan Grasslands
Quicksand,Rare,EW,water+earth,15:00:00,5%,4% (10%),1% (?%),1% (?%),Sandy Canyon
Soot,Rare,FE,fire+earth,10:00:00,5%,?% (15%),?% (30%),?% (30%),Cauldron Canyon
Permafrost,Rare,EC,earth+cold,18:00:00,5%,4% (15%),1% (30%),1% (30%),Freezey-Cold Flight
Subterranean,Rare,ED,earth+dark,24:00:00,5%,4% (15%),1% (30%),1% (30%),T. Erra's Plea
Fissure,Rare,ED,dark+earth,15:00:00,5%,4% (15%),1% (30%),1% (30%),Laki Chasm
Alpenglow,Rare,EIR,earth+light+rift+[lightning trait],0:00:00,2.5%,0% (0%),0% (0%),1% (15%),Lighting the Rift
Earth Rift,Primary Rift,ER,,48:00:00,$%,0% (0%),0% (0%),1% (15%),A Rift Aground
Arid,Rare,EI,light+earth,12:30:00,5%,4% (15%),1% (?%),?% (?%),Desert Duds
Thunderbird,Rare,ELR,lightning+earth+rift+[fire trait],0:00:00,3%,0% (0%),0% (0%),1% (15%),Bolt Buffet
Frostfluff,Rare,ECR,cold+earth+rift+[rift align:cold],0:00:00,3%,0% (0%),0% (0%),1% (15%),Fluff Bluff
Tumblethorn,Rare,PER,plant+earth+rift+[earth trait],0:00:00,2%,0% (0%),0% (0%),1% (15%),Tumbling Along
Sandscale,Rare,EIR,earth+light+rift+[rift align:light],0:00:00,4%,0% (0%),0% (0%),1% (20%),Dune Diving
Auroch,Rare,EM,metal+earth,22:00:00,4%,4% (10%),1% (?%),1% (?%),Bullish Tendencies
Xanthium,Rare,EM,earth+metal,19:00:00,2.5%,4% (15%),1% (30%),1% (30%),A Prickly Pretense
Snootroot,Rare,PE,earth+plant,4:30:00,5%,4% (15%),1% (30%),1% (30%),Flaunting Flair
Fulgurite,Rare,EL,earth+lightning,16:00:00,2.25%,4% (15%),1% (30%),1% (30%),Charged Assumptions
Bouldershock,Rare,EL,lightning+earth,15:00:00,2.5%,4% (15%),1% (30%),1% (30%),Shocked and Shaken
Whirlwind,Rare,EA,earth+air,20:00:00,5%,10% (20%),1% (30%),1% (30%),Windy and Whirly
Burrow,Rare,FE,earth+fire,10:00:00,5%,4% (15%),1% (30%),1% (30%),Curious Explorer
Khamsin,Rare,EA,air+earth,12:00:00,5%,10% (20%),1% (30%),1% (30%),Dust Storm
Darcowl,Rare,EMD,dark+earth+metal,23:00:00,1.75%,1.5% (10%),0.75% (30%),0.75% (30%),Covert Galantry
Outrider,Rare,AMI,light+air+metal,22:30:00,1.75%,1.5% (10%),0.75% (30%),0.75% (30%),Surveil the Vale
Quantum,Rare,CID,light+cold+dark,26:00:00,1.75%,1.5% (10%),0.75% (30%),0.75% (30%),Formidable Force
Riptide,Rare,WAD,water+dark+air,24:30:00,2%,1.5% (10%),0.75% (30%),0.75% (30%),Amorphous Porpoise
Armament,Rare,FMI,metal+light+fire,24:00:00,0.5% (2%),1.5% (10%),0.75% (30%),0.75% (30%),Stark Strength
Dash,Rare,AID,light+air+dark,32:00:00,0.5% (2%),1.5% (10%),0.75% (30%),0.75% (30%),Speedy Sense
Sparkles,Rare,ELI,lightning+light+earth,33:00:00,0.5% (2%),1.5% (10%),0.75% (30%),0.75% (30%),Odin's Pride
Vanguard,Rare,EMI,light+earth+metal,16:00:00,0.5% (2%),1.5% (10%),0.75% (30%),0.75% (30%),Gilded Wonder
Psyche,Rare,PAD,dark+air+plant,28:00:00,0.5% (2%),1.5% (10%),0.75% (30%),0.75% (30%),Mind Over Matter
Bastion,Rare,CLI,light+lightning+cold,24:00:00,0.5% (2%),1.5% (10%),0.75% (30%),0.75% (30%),One For All
Monte,Epic,AISuMo,moon+sun+air+light,12:00:00,2%,1.5% (10%),0.75% (30%),0.75% (30%),Juicy Joy
Sailback,Epic,FWSuMo,moon+sun+water+fire,8:00:00,2%,1.5% (10%),0.75% (30%),0.75% (30%),Aquatic Anathema
Toco,Epic,PASuMo,moon+sun+air+plant,8:00:00,2%,1.5% (10%),0.75% (30%),0.75% (30%),Big-billed Beats
Vibe,Epic,PLSuMo,moon+sun+plant+lightning,12:00:00,2%,1.5% (5%),0.75% (30%),0.75% (30%),Scene Maker
Elegant,Epic,PISuMo,moon+sun+plant+light,12:00:00,2%,1.5% (5%),0.75% (30%),0.75% (30%),Grand Entrance
Ruckus,Epic,FISuMo,moon+sun+fire+light,10:00:00,2%,1.5% (5%),0.75% (30%),0.75% (30%),Bring It On!
Dazzle,Epic,LDSuMo,moon+sun+lightning+dark,17:00:00,2%,1.5% (5%),0.75% (30%),0.75% (30%),A Star is Bred
Razzle,Epic,ADSuMo,moon+sun+air+dark,14:00:00,2%,1.5% (5%),0.75% (30%),0.75% (30%),Hysterical Hype
Eldritch,Rare,PFEC,fire+plant+earth+cold,24:00:00,0.2%,1.5% (10%),0.75% (30%),0.75% (30%),Shrouded in Mystery
Blazing,Hybrid,FA,fire+air,8:00:00,*%,10% (20%),1% (?%),1% (?%),Fiery Forage
Fire,Primary,F,,0:05:00,$%,0% (?%),0% (?%),0% (?%),
Firefly,Hybrid,FL,lightning+fire,3:00:00,*%,10% (20%),1% (?%),1% (?%),Cold Light Chase
Flower,Hybrid,PF,fire+plant,1:00:00,*%,10% (20%),1% (?%),1% (?%),Floral Quarrel
Lava,Hybrid,FE,earth+fire,10:00:00,*%,10% (20%),1% (?%),1% (?%),Molten Motive
Poison,Hybrid,PF,plant+fire,0:30:00,*%,10% (20%),1% (?%),1% (?%),Toxic Trouble
Blue Fire,Rare,FC,fire+cold,12:00:00,5%,4% (15%),1% (?%),1% (?%),Scorched Ice
Scorch,Hybrid,FL,fire+lightning,3:00:00,*%,10% (20%),1% (?%),1% (?%),Scalding Stretch
Frostfire,Rare,FC,cold+fire,12:00:00,5%,4% (15%),1% (?%),1% (?%),Palagos Islands
Brass,Hybrid,FM,fire+metal,5:00:00,*%,10% (20%),1% (?%),1% (?%),Doubley Alloyed
Forge,Hybrid,FM,fire+metal,24:00:00,*%,10% (20%),1% (?%),1% (?%),Smithy Snafu
Obsidian,Hybrid,FE,earth+fire,8:00:00,*%,10% (20%),1% (?%),1% (?%),The Mark of Wrothmoore
Smoke,Hybrid,FA,fire+air,14:00:00,*%,10% (20%),1% (?%),1% (?%),The Other Side
Coral,Hybrid,FW,fire+water,11:30:00,*%,10% (20%),1% (?%),1% (?%),Kelpy Corrale
Salamander,Hybrid,FW,fire+water,9:30:00,*%,10% (20%),1% (?%),1% (?%),Amphibian Meridian
Pepper,Rare,PF,fire+plant,6:00:00,5%,4% (15%),1% (?%),1% (?%),Cheelei's Cove
Ember,Hybrid,FI,fire+light,8:00:00,*%,10% (20%),1% (?%),1% (?%),Conflagration Course
Heat,Hybrid,FI,light+fire,12:00:00,*%,10% (20%),1% (?%),1% (?%),Thermodynamic Panic
Dungeon,Hybrid,FD,dark+fire,15:00:00,*%,10% (20%),1% (?%),1% (?%),Boss Stage
Watch,Hybrid,FD,fire+dark,8:00:00,*%,10% (20%),1% (?%),1% (?%),Gulf of the Guardian
Sulfur,Rare,FM,fire+metal,15:00:00,5%,4% (15%),1% (?%),1% (?%),Putrid Plunge
Inferno,Rare,FA,air+fire,8:00:00,5%,4% (10%),1% (?%),1% (?%),Dante's Dungeon
Molten,Rare,FM,metal+fire,12:00:00,5%,4% (10%),1% (?%),1% (?%),Shi Nee's Saga
Smolder,Rare,FA,fire+air,11:00:00,5%,?% (15%),?% (30%),?% (30%),Smoke on the Boulder
Soot,Rare,FE,fire+earth,10:00:00,5%,?% (15%),?% (30%),?% (30%),Cauldron Canyon
Char,Rare,FD,dark+fire,22:00:00,5%,4% (15%),1% (?%),1% (?%),Across the Acrostic Sea
Steam,Rare,FW,water+fire,12:00:00,5%,4% (15%),1% (?%),1% (?%),Ephemeral Spire
Blightwing,Rare,FAR,fire+air+rift+[dark trait],0:00:00,2.5%,0% (0%),0% (0%),1% (15%),Timeless Tail
Fire Rift,Primary Rift,FR,,48:00:00,$%,0% (0%),0% (0%),1% (15%),Chaotic Encounter
Infrared,Rare,FI,light+fire,10:00:00,5%,4% (15%),1% (30%),1% (30%),Concentrated Fire Magic
Plumewing,Rare,FAR,rift+[air trait],0:00:00,3% (1%),0% (0%),0% (0%),1% (15%),Shiny Start
Nimbus,Rare,FWR,fire+water+rift+[light trait],0:00:00,2%,0% (0%),0% (0%),1% (15%),Nimble Narrows
Yolkwing,Rare,FDR,rift+[fire trait],0:00:00,2.5%,0% (0%),0% (0%),1% (15%),Eggstraordinary Eggventure
Brilliant,Rare,FL,lightning+fire,15:00:00,3%,4% (15%),1% (30%),1% (30%),Intuitive Innovation
Fever,Rare,FC,cold+fire,9:00:00,3.5%,4% (15%),1% (30%),1% (30%),Cold Sweat
Smoulderbrush,Rare,PF,plant+fire,8:00:00,4%,4% (15%),1% (30%),1% (30%),Aroma Therapy
Ignite,Rare,FL,fire+lightning,16:00:00,2.5%,4% (15%),1% (30%),1% (30%),The Uncertainty Antithesis
Wick,Rare,FI,fire+light,20:00:00,5%,4% (15%),1% (30%),1% (30%),Wicked Sick
Daylily,Rare,PFA,air+fire+plant,16:00:00,5%,3.5% (10%),1% (30%),1% (30%),Daily Lily
Flickerflame,Rare,FC,fire+cold,14:00:00,5%,10% (10%),1% (30%),1% (30%),Flame and Flicker
Burrow,Rare,FE,earth+fire,10:00:00,5%,4% (15%),1% (30%),1% (30%),Curious Explorer
Ignaqtus,Rare,FW,fire+water,18:00:00,3%,10% (20%),1% (30%),1% (30%),Firewater
Antarian,Galaxy,Ga,,16:00:00,$%,5% (20%),0% (0%),0% (0%),Flaming Starscape
Arcturian,Galaxy,Ga,,6:00:00,$%,10% (20%),0% (0%),0% (0%),Pan Galactic Gargle
Bizurian,Galaxy,Ga,,8:00:00,$%,5% (20%),0% (0%),0% (0%),Paired Pulsars
Polarian,Galaxy,Ga,,28:30:00,$%,5% (20%),0% (0%),0% (0%),Polaris Plummet
Sorarian,Galaxy,Ga,,45:00:00,$%,10% (20%),0% (0%),0% (0%),Celestial Rarity
Andromedan,Galaxy,Ga,,16:00:00,$%,5% (20%),0% (0%),0% (0%),Celestial Duality
Procyon,Galaxy,Ga,,16:00:00,$%,5% (20%),0% (0%),0% (0%),Stellar Phenomcyon
Comet,Galaxy,Ga,,22:00:00,$%,10% (20%),0% (0%),0% (0%),Hypersonic Frolic
Eridanian,Galaxy,Ga,,18:00:00,$%,5% (20%),0% (0%),0% (0%),Stellar Core
Celerulean,Galaxy,Ga,,24:00:00,$%,10% (20%),0% (0%),0% (0%),Blue Odyssey
Nebula,Galaxy,Ga,,18:00:00,$%,10% (20%),0% (0%),0% (0%),Murphy's Ode
Rayleian,Galaxy,Ga,,22:00:00,$%,10% (20%),0% (0%),0% (0%),Megastellar Mission
Teidian,Galaxy,Ga,,20:00:00,$%,10% (20%),0% (0%),0% (0%),Year of the Bull
Nova,Galaxy,Ga,,18:00:00,$%,7.5% (20%),0% (0%),0% (0%),Divine Starshine
Singularity,Galaxy,Ga,,18:00:00,$%,1% (20%),0% (0%),0% (0%),Event Horizon
Solarflare,Galaxy,GaSu,galaxy+sun+[social cave],24:00:00,10%,1% (20%),0% (0%),0% (0%),Prowess Immeasurable
Glimmerwing,Galaxy,Ga,,23:00:00,$%,1% (20%),0% (0%),0% (0%),Glimmering Gorge
Starlight,Galaxy,Ga,,20:00:00,$%,2% (20%),0% (0%),0% (0%),Star Bright
Rigel,Galaxy,RGa,galaxy+galaxy+rift+[own all galaxy],16:00:00,0.5%,0% (0%),0% (0%),0% (0%),A Glad Dose of Adventure
Lunis,Galaxy,GaMo,Moon+galaxy,24:00:00,2%,5% (20%),0% (0%),0% (0%),A Lunar Tick
Solis,Galaxy,GaSu,Sun+galaxy,24:00:00,2%,5% (20%),0% (0%),0% (0%),Stay Lit
Gravity,Galaxy,Ga,,20:00:00,$%,10% (20%),0% (0%),0% (0%),Gravity Falls
Emerald,Gemstone,Ge,Lichen+Crystal,31:00:00,3%,3% (6%),5% (7%),5% (7%),The Sedna Mountains
Pearl,Gemstone,Ge,Snow+Seaweed,30:00:00,3%,3% (6%),5% (7%),5% (7%),Shimmering Slough
Ruby,Gemstone,Ge,Chrome+Scorch,31:00:00,3%,3% (6%),5% (7%),5% (7%),Mogok Mania
Peridot,Gemstone,Ge,Crystal+Cactus,31:00:00,3%,3% (6%),5% (7%),5% (7%),Olivine's Ordeal
Sapphire,Gemstone,Ge,Rain+Mountain,30:00:00,3%,3% (6%),5% (7%),5% (7%),Yogo Gulch
Opal,Gemstone,Ge,Lava+Mud,31:00:00,3%,3% (6%),5% (7%),5% (7%),Opalescent Operation
Topaz,Gemstone,Ge,Cactus+Firefly,30:00:00,3%,3% (6%),5% (7%),5% (7%),Remember November
Turquoise,Gemstone,Ge,Poison+Swamp,31:00:00,3%,3% (6%),5% (7%),5% (7%),Khorasan Kame
Garnet,Gemstone,Ge,Smoke+Obsidian,31:00:00,3%,3% (6%),5% (7%),5% (7%),Crimson Canyon
Amethyst,Gemstone,Ge,Hail+Sonic,28:00:00,3%,3% (6%),5% (7%),5% (7%),Gerias Mines
Aquamarine,Gemstone,Ge,Iceberg+River,31:00:00,3%,3% (6%),5% (7%),5% (7%),Tour de Cyan
Diamond,Gemstone,Ge,Ice+Mine,30:00:00,3%,3% (6%),5% (7%),5% (7%),Carbon Craze
Jade,Gemstone,Ge,Plasma+Salamander,30:26:15,3%,3% (6%),5% (7%),5% (7%),Catacombs of Ulmek
Amber,Gemstone,Ge,Quake+Evergreen,30:26:15,3%,3% (6%),5% (7%),5% (7%),Fossil Folly
Jet,Gemstone,Ge,Ash+Frostfire,30:00:00,3%,3% (6%),5% (7%),5% (7%),Lignite Night
Lapis,Gemstone,Ge,Thunder+Sandstorm,32:00:00,3%,3% (6%),5% (7%),5% (7%),Ultramarine Scene
Ovalith,Gemstone,Ge,Bloom+Panlong,30:00:00,1%,3% (6%),5% (7%),5% (7%),Shell Scheme
Opal,Gemstone,Ge,Lava+Mud,31:00:00,3%,3% (6%),5% (7%),5% (7%),Opalescent Operation
Topaz,Gemstone,Ge,Cactus+Firefly,30:00:00,3%,3% (6%),5% (7%),5% (7%),Remember November
Turquoise,Gemstone,Ge,Poison+Swamp,31:00:00,3%,3% (6%),5% (7%),5% (7%),Khorasan Kame
Amber,Gemstone,Ge,Quake+Evergreen,30:26:15,3%,3% (6%),5% (7%),5% (7%),Fossil Folly
Emerald,Gemstone,Ge,Lichen+Crystal,31:00:00,3%,3% (6%),5% (7%),5% (7%),The Sedna Mountains
Pearl,Gemstone,Ge,Snow+Seaweed,30:00:00,3%,3% (6%),5% (7%),5% (7%),Shimmering Slough
Diamond,Gemstone,Ge,Ice+Mine,30:00:00,3%,3% (6%),5% (7%),5% (7%),Carbon Craze
Lapis,Gemstone,Ge,Thunder+Sandstorm,32:00:00,3%,3% (6%),5% (7%),5% (7%),Ultramarine Scene
Ruby,Gemstone,Ge,Chrome+Scorch,31:00:00,3%,3% (6%),5% (7%),5% (7%),Mogok Mania
Peridot,Gemstone,Ge,Crystal+Cactus,31:00:00,3%,3% (6%),5% (7%),5% (7%),Olivine's Ordeal
Sapphire,Gemstone,Ge,Rain+Mountain,30:00:00,3%,3% (6%),5% (7%),5% (7%),Yogo Gulch
Jade,Gemstone,Ge,Plasma+Salamander,30:26:15,3%,3% (6%),5% (7%),5% (7%),Catacombs of Ulmek
Garnet,Gemstone,Ge,Smoke+Obsidian,31:00:00,3%,3% (6%),5% (7%),5% (7%),Crimson Canyon
Amethyst,Gemstone,Ge,Hail+Sonic,28:00:00,3%,3% (6%),5% (7%),5% (7%),Gerias Mines
Aquamarine,Gemstone,Ge,Iceberg+River,31:00:00,3%,3% (6%),5% (7%),5% (7%),Tour de Cyan
Jet,Gemstone,Ge,Ash+Frostfire,30:00:00,3%,3% (6%),5% (7%),5% (7%),Lignite Night
Ghostly Fire,Rare,F,,0:05:00,0%,0% (?%),0% (?%),0% (?%),
Ghostly Earth,Rare,E,,2:00:00,0%,0% (?%),0% (?%),0% (?%),
Ghostly Lava,Rare,FE,Ghostly Earth+Ghostly Fire,11:00:00,3%,10% (15%),10% (30%),10% (30%),Morbid Molten Motive
